cluster_id,example_urls,average_performance
0,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-603099807587246', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-989654009083459', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-960884234555681', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-964733417506862', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-924865635226814', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929300948587514', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-989969399547901', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-983335896508749', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-999607261342550', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-880340126836307', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-906506897404894', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-425151876539382', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885209946993560', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-814072014151046', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8100667816697710', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8111507755613955', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-793257836073148', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-806751788307038', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-882019143545185', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604285914607200', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-671839840899900', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877210454387561', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-989930303148492', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-938232524809973', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-809480737932683', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929511878466995', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-7995631707140182', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911926190614858', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-954440782897187', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-939795907980426', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-893539262677484', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-944981830978756', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894559812351386', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-997580728807604', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-975523146942238', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-880568190186256', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803897110603133', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-965108935263649', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904815481005158', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-613197413789434', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-951885082053340', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-620702145697389', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-986360206629277', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-429145826826558', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-879631723735807', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-903913985069116', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803990118540094', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885670366433640', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888593019388197', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-987287402378278', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1693566687752051', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-881342303358042', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-871981848375866', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-901695498551491']",0.9044843580205679
1,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932703258597949', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905739711170399']",0.6728172102333333
2,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-963303392509872', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905739711170399', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992418235673669']",1.27593725675
3,['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6720438181324436'],0.3209520748
4,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604041931565137', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902456848100089', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888183703182855', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-876239523982490', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-963303392509872', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-925260332281638', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-987643572956494']",1.297760613272222
5,['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-883738210384679'],0.70032371025
6,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-954832972830686', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-942779243913664']",0.9957522533
7,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-876239523982490', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905739711170399', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992064161877405', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-958774641659407', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874864704574925']",1.117657412142479
8,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1119706949586170', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6764280623620361', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902456848100089', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888183703182855', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905739711170399', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817763467176157', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-963303392509872', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-925260332281638']",0.9352635736055556
9,['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6720438181324436'],0.3209520748
10,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-987643572956494', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932703258597949', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-887363366529815', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604041931565137']",1.0779458435866665
11,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888183703182855', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-905739711170399', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-817763467176157']",0.8984796175307692
12,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-902456848100089', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-876239523982490', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992064161877405', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-925260332281638', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-987643572956494', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-958774641659407']",1.1311784178320294
13,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1119706949586170', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932703258597949']",1.2270424206666668
14,"['https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-960884234555681', 'https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874864704574925']",0.9180474553333332
